201,achever,to achieve,réaliser
1626,caution,caution,prudence
1632,cave,cave,une caverne/une grotte
1675,chair,chair,une chaise
2248,contenance,countenance,expression (visage)
2479,crier,to cry,pleurer
2611,déception,deception,une tromperie/une supercherie
3648,état,estate,domaine
3845,fabrique,fabric,tissu
4260,fortuné,fortunate,chanceux
4549,gentil,gentle,aimable/doux
4672,grand,grand,grandiose
4686,grappe,grapes,raisin
4701,grave,grave,une tombe
4784,habileté,ability,aptitude
4834,hasard,hazard,danger
5193,inconvenant,inconvenient,inopportun
5325,injurier,to injure,blesser
5534,issue,issue,"problème, question"
5755,lecture,lecture,conférence
5895,location,location,emplacement
6132,mécanique,mechanic,mécanicien
6657,nouvelle,novel,roman
7264,photographe,photograph,photographie
7642,prétendre,to pretend,faire semblant
7899,queue,queue,file d'attente
8114,engagé,engaged,occupé
8197,recouvrir,to recover,se rétablir
8288,refus,refuse,déchets
8388,relever,relieve,soulager
8709,retirer,to retire,prendre sa retraite
8920,route,route,itinéraire
8934,rude,rude,grossier
9596,suite,suit,costume
9657,surnom,surname,nom de famille
9707,sympathique,sympathetic,compatissant
9755,tape,tape,ruban/bande(magnétique)
9829,tentative,tentative,timide
9961,touché,touchy,susceptible
9967,tour,tour,voyage/circuit
10278,valide,valid,valable