124,to abuse,insulter,abuser
190,to accommodate,loger,accommoder
287,to achieve,réaliser,achever
349,actually,en fait,actuellement
3054,bra,un soutien-gorge,bras
3111,brillant,génial/super,brillant
3484,car,une voiture,car
3637,caution,prudence,caution
3644,cave,une caverne/une grotte,cave
3796,chair,une chaise,chair
3852,change,monnaie,changer
3899,to charge,faire payer,charger
4339,close,proche/serré,clos
4392,coin,une pièce/une pièce de monnaie,coin
4566,commodity,marchandise,commodité
4832,conductor,contrôleur,conducteur
5153,countenance,expression (visage),contenance
5518,current,actuel/en cours,courrant
5617,crane,grue,crâne
5696,to cry,pleurer,crier
6017,deception,une tromperie/une supercherie,déception
6022,to deceive,tromper,décevoir
6262,delay,retard,délai
6328,to demand,exiger,demander
7374,douche,une poire ou douche vaginale,douche
7401,dramatic,théâtral(e)/spectaculaire,dramatique 
8114,engaged,occupé,engagé
8114,engaged,fiancé(e),engagé
8619,estate,domaine,état
9073,fabric,tissu,fabrique
9735,fortunate,chanceux,fortuné
10234,gentle,aimable/doux,gentil
10457,grand,grandiose,grand
10480,grapes,raisin,grappe
10499,grave,une tombe,grave
10651,ability,aptitude,habileté
10742,hazard,danger,hasard
10857,to hurt,blesser/faire mal,heurter
11435,inconvenient,inopportun,inconvenant
11556,indulge,laisser aller,indulgence
12202,issue,"problème, question",issue
12712,lecture,conférence,lecture
12856,library ,une bibliothèque,libraire
13013,location,emplacement,location
13648,mechanic,mécanicien,mécanique
13674,medicine,médicament,médecin
13823,mercy,miséricorde,merci
14817,notice,avis/préavis,notice
14852,novel,roman,nouvelle
16090,petrol,essence,pétrole
16155,photograph,photographie,photographe
16164,phrase,expression,phrase
16994,to pretend,faire semblant,prétendre
17316,proper,adéquat,propre
17596,queue,file d'attente,queue
18071,to recover,se rétablir,recouvrir
18218,refuse,déchets,refus
18241,to regard,considérer,regarder
18363,relieve,soulager,relever
18822,to rest,se reposer,rester
18847,to resume,recommencer,résumer
18878,to retire,prendre sa retraite,retirer
19248,route,itinéraire,route
19269,rude,grossier,rude
20508,store,grand magasin,stores
20662,suit,costume,suite
20716,to supply,fournir,supplier
20779,surname,nom de famille,surnom
20807,to survey,examiner,surveiller
20864,sympathetic,compatissant,sympathique
20969,tape,ruban/bande(magnétique),tape
21162,tentative,timide,tentative
21448,touchy,susceptible,touché
21463,tour,voyage/circuit,tour
22055,valid,valable,valide
22630,wagon,chariot,wagon
111711,to injure,blesser,injurier